файл,рука,сидов,1A2,2C9,2D6,3A4,МАКРО,выше пола,ниже пола,скрыто макро
ncgc,+NCGC активные+2C19,1,0.004456773042792905,-0.025710778002559276,-0.06096240951524218,-0.02091342572902477,-0.02578246005100833,0,3,False
ncgc,"+NCGC активные, перемешанный",1,-0.0012407911635973212,-0.030494602461721088,-0.0724296337949411,-0.024202585852968195,-0.03209190331830693,0,3,False
aux,пул,1,-0.021050410032148192,-0.044828600299165355,-0.01763940532066105,-0.023331449905593327,-0.02671246638939198,0,4,False
aux,"пул+скрининг, перемешанный",1,-0.007015300057447826,-0.06030120591971744,-0.021922789414012656,-0.040002455924799674,-0.0323104378289944,0,4,False
aux2,независимо+скрининг,1,0.012063793987421634,0.05825203766776299,0.006081735165862023,0.021672593998167677,0.02451754020480358,4,0,False
aux2,пул mf1.0,1,-0.015927081415284206,-0.03151371487734578,-0.02947809735305329,-0.02997959276861195,-0.026724621603573806,0,4,False
dead,L1 по метке,1,0.004867937557947621,-0.013571849382109646,-0.0012463278432714442,-0.002756856572975419,-0.003176774060102222,0,1,False
dead,мёртвая зона x1,1,0.03845154637103715,0.033433671587774993,0.0436806543569761,-0.00644178859868938,0.027281020929274716,3,1,False
dead,мёртвая зона x2,1,0.03788073367132477,0.01790219771599788,0.05120746062026166,-0.005522034581569857,0.025367089356503614,3,1,False
dead,мёртвая зона x3,1,0.03147869782001095,0.01841867627365157,0.051310622649499704,-0.007423821762696403,0.023446043745116454,3,1,False
dead123,мёртвая зона x1,3,0.040700839659026246,0.04310836620082755,0.05520954777776216,0.00554054719625426,0.036139825208467556,4,0,False
emb,EMB,1,-0.05000675349374417,-0.04548164822280831,-0.009606336370245605,-0.04249686156792365,-0.036897899913680435,0,4,False
emb,EMB+MECH,1,-0.049302661222660527,-0.051764591241745705,0.024785176157529898,-0.04060517672381325,-0.029221813257672397,1,3,False
ext,внешние как есть,1,-0.004848870825522045,-0.032707865469107644,6.778405429735956e-05,-0.010698330168634529,-0.012046820602241715,0,2,False
ext,сдвиг по парным,1,-0.007482927335335621,-0.04401305813071554,-0.002304247422121486,-0.0008731953064279319,-0.013668357048650145,0,2,False
ext,сдвиг по маргинали,1,-0.009004676797082,-0.06534813622799907,0.0035564231510620825,-0.04310111908253422,-0.0284743772391383,0,3,False
lipo,мишень LipE,1,-0.02898808724795232,-0.019127776002260455,-0.02227874921927042,0.0011462195655225216,-0.01731209822599017,0,3,False
loss,L1 по метке,1,0.004867937557947621,-0.013571849382109646,-0.0012463278432714442,-0.002756856572975419,-0.003176774060102222,0,1,False
ncgc,+NCGC активные,1,0.009335639977431365,-0.01190235279020746,-0.04861397291864805,-0.019195408929582602,-0.017594023665251687,1,3,False
lipo,+ logD и LipE,1,-0.017471201145702053,-0.016960656338302127,-0.016083272608681032,0.0018465057872099067,-0.012167156076368826,0,3,False
